airline,airline_ID,source_airport_name,source_airport,source_airport_ID,destination_airport_name,destination_airport,destination_airport_ID,short_plane_code,short_code,capacity
3M,20710,Fort Lauderdale-Hollywood International Airport,FLL,3533,Orlando,MCO,3878,SF3,SF3,37
3M,20710,Fort Lauderdale-Hollywood International Airport,FLL,3533,Tampa,TPA,3646,SF3,SF3,37
3M,20710,Jacksonville,JAX,3712,Tampa,TPA,3646,SF3,SF3,37
3M,20710,Orlando,MCO,3878,Fort Lauderdale-Hollywood International Airport,FLL,3533,SF3,SF3,37
3M,20710,Orlando,MCO,3878,Pensacola,PNS,3564,SF3,SF3,37
3M,20710,Orlando,MCO,3878,Fort Meyers,RSW,3793,SF3,SF3,37
3M,20710,West Palm Beach,PBI,3722,Tampa,TPA,3646,SF3,SF3,37
3M,20710,Pensacola,PNS,3564,Orlando,MCO,3878,SF3,SF3,37
3M,20710,Pensacola,PNS,3564,Tampa,TPA,3646,SF3,SF3,37
3M,20710,Fort Meyers,RSW,3793,Orlando,MCO,3878,SF3,SF3,37
3M,20710,Tampa,TPA,3646,Fort Lauderdale-Hollywood International Airport,FLL,3533,SF3,SF3,37
3M,20710,Tampa,TPA,3646,Jacksonville,JAX,3712,SF3,SF3,37
3M,20710,Tampa,TPA,3646,West Palm Beach,PBI,3722,SF3,SF3,37
3M,20710,Tampa,TPA,3646,Pensacola,PNS,3564,SF3,SF3,37
4B,20565,Las Vegas McCarran International Airport,LAS,3877,Los Angeles International Airport,LAX,3484,PL2,PL2,10
4B,20565,Los Angeles International Airport,LAX,3484,Las Vegas McCarran International Airport,LAS,3877,PL2,PL2,10
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Kalamazoo-Battle Creek International Airport,AZO,4039,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Chattanooga,CHA,3578,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Cedar Rapids,CID,4043,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Charleston,CRW,4285,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Cincinnati,CVG,3488,CR9 ,CR9,90
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Evansville,EVV,4018,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Fort Wayne,FWA,4041,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Greensboro,GSO,4008,CR9,CR9,90
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Greenville,GSP,4034,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Lansing,LAN,3544,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Lexington,LEX,4017,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Saginaw,MBS,4128,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Roanoke,ROA,4016,CRJ,CRJ,70
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Syracuse,SYR,3745,CR9,CR9,90
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Knoxville,TYS,3676,CRJ CR9,CR9,90
9E,3976,Hartsfield-Jackson Atlanta International Airport,ATL,3682,Northwest Arkansas Regional Airport,XNA,4356,CRJ,CRJ,70
9E,3976,Kalamazoo-Battle Creek International Airport,AZO,4039,Hartsfield-Jackson Atlanta International Airport,ATL,3682,CRJ,CRJ,70
9E,3976,Chattanooga,CHA,3578,Hartsfield-Jackson Atlanta International Airport,ATL,3682,CRJ,CRJ,70
9E,3976,Charleston,CRW,4285,Hartsfield-Jackson Atlanta International Airport,ATL,3682,CRJ,CRJ,70
9E,3976,Cincinnati,CVG,3488,Hartsfield-Jackson Atlanta International Airport,ATL,3682,CR9 ,CR9,90
9E,3976,Detroit Metropolitan Airport,DTW,3645,New Orleans International Airport,MSY,3861,CR9,CR9,90
